PassengerId,Survived,y_pred_class_ensemble,y_pred_class_gaussian,y_pred_class_knn,y_pred_class_logreg,y_pred_class_rfclsf,y_pred_class_svc
1,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1
3,1,0,0,0,1,1,1
4,1,1,1,1,1,1,1
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,1,0,0,0
8,0,0,1,1,0,0,1
9,1,0,1,0,1,1,1
10,1,0,1,0,1,1,1
11,1,0,1,1,0,1,1
12,1,0,1,0,1,1,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,1,0,0,0,1
16,1,0,1,0,1,1,1
17,0,0,1,0,1,0,0
18,1,0,0,0,0,0,0
19,0,0,1,0,1,0,0
20,1,1,1,1,1,1,1
21,0,0,0,1,0,0,1
22,1,0,0,0,0,0,0
23,1,0,1,0,1,1,1
24,1,0,0,1,0,1,1
25,0,0,1,1,0,0,0
26,1,0,1,0,0,1,0
27,0,0,0,0,0,0,0
28,0,0,1,1,0,0,1
29,1,1,1,1,1,1,1
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1
34,0,0,0,0,0,0,0
35,0,0,1,1,0,0,1
36,0,0,0,1,0,0,1
37,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,1,0,1,0,0
40,1,0,1,0,1,1,1
41,0,0,1,0,0,0,0
42,0,0,1,0,1,0,0
43,0,0,0,0,0,0,0
44,1,0,1,0,1,1,1
45,1,0,1,0,1,1,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,1,1,1,1,1,1,1
49,0,0,0,0,0,0,0
50,0,0,1,0,1,0,0
51,0,0,1,0,0,0,0
52,0,0,0,0,0,0,0
53,1,1,1,1,1,1,1
54,1,0,1,0,1,1,1
55,0,0,1,1,0,0,0
56,1,0,0,1,0,1,1
57,1,0,1,0,1,1,0
58,0,0,0,0,0,0,0
59,1,0,1,0,1,1,1
60,0,0,1,0,0,0,0
61,0,0,0,0,0,0,0
62,1,1,1,1,1,1,1
63,0,0,0,1,0,0,0
64,0,0,1,1,0,0,0
65,0,0,0,0,1,0,0
66,1,0,0,0,0,1,0
67,1,0,1,0,1,1,1
68,0,0,0,0,0,0,0
